service_id,date,exception_type
4503599629230145,20130401,2
4503599629230145,20130501,2
4503599629230145,20130508,2
4503599629230145,20130509,2
4503599629230145,20130520,2
4503599629230145,20130815,2
4503599629560004,20130401,2
4503599629560004,20130501,2
4503599629560004,20130508,2
4503599629560004,20130509,2
4503599629560004,20130520,2
4503599629560004,20130815,2
4503599629560004,20131101,2
4503599629560004,20131111,2
4503599629560004,20131225,2
4503599629560004,20140101,2
4503599629560004,20140421,2
4503599629560004,20140501,2
4503599629560004,20140508,2
4503599629560004,20140529,2
4503599629560004,20140609,2
4503599629560004,20140714,2
4503599629560004,20140815,2
4503599629560004,20141101,2
4503599629560004,20141111,2
4503599631507892,20130401,2
4503599631507892,20130501,2
4503599631507892,20130508,2
4503599631507892,20130509,2
4503599631507892,20130520,2
4503599631507892,20130815,2
4503599631507892,20131101,2
4503599631507892,20131111,2
4503599631507892,20131225,2
4503599631507892,20140101,2
4503599631507892,20140421,2
4503599631507892,20140501,2
4503599631507892,20140508,2
4503599631507892,20140529,2
4503599631507892,20140609,2
4503599631507892,20140714,2
4503599631507892,20140815,2
4503599631507892,20141111,2
4503599631507892,20150101,2
4503599631507892,20150406,2
4503599631507892,20150501,2
4503599631507892,20150508,2
4503599631507892,20150514,2
4503599631507892,20150525,2
4503599631507892,20150714,2
4503599631507895,20141101,2
4503599631507895,20150815,2
4503599631507909,20130401,2
4503599631507909,20130501,2
4503599631507909,20130508,2
4503599631507909,20130509,2
4503599631507909,20130520,2
4503599631507909,20130815,2
4503599631507909,20131101,2
4503599631507909,20131111,2
4503599631507909,20131225,2
4503599631507909,20140101,2
4503599631507909,20140421,2
4503599631507909,20140501,2
4503599631507909,20140508,2
4503599631512310,20130401,2
4503599631512310,20130501,2
4503599631512310,20130508,2
4503599631512310,20130509,2
4503599631512310,20130520,2
4503599631512310,20130815,2
4503599631512310,20131101,2
4503599631512310,20131111,2
4503599631512310,20131225,2
4503599631512310,20140101,2
4503599631512310,20140421,2
4503599631512310,20140501,2
4503599631512310,20140508,2
4503599631512310,20140529,2
4503599631512310,20140609,2
4503599631512310,20140714,2
4503599631512310,20140815,2
4503599631512310,20141111,2
4503599631529079,20130815,2
4503599631531208,20131101,2
4503599631531208,20131111,2
4503599631531208,20131225,2
4503599631531208,20140101,2
4503599631531208,20140421,2
4503599631531208,20140501,2
4503599631531208,20140508,2
4503599631531208,20140529,2
4503599631531208,20140609,2
4503599631531208,20140714,2
4503599631531208,20140815,2
4503599631531497,20131101,2
4503599631531497,20131111,2
4503599631531497,20131225,2
4503599631531497,20140101,2
4503599631531497,20140421,2
4503599631531497,20140501,2
4503599631531497,20140508,2
4503599631531497,20140529,2
4503599631531497,20140609,2
4503599631531497,20140714,2
4503599631531497,20140815,2
4503599631531511,20131101,2
4503599631531511,20131111,2
4503599631531511,20131225,2
4503599631531511,20140101,2
4503599631531511,20140421,2
4503599631531511,20140501,2
4503599631531511,20140508,2
4503599631531511,20140529,2
4503599631531511,20140609,2
4503599631531511,20140714,2
4503599631531511,20140815,2
4503599631532894,20131101,2
4503599631532894,20131111,2
4503599631532894,20131225,2
4503599631532894,20140101,2
4503599631532894,20140421,2
4503599631532894,20140501,2
4503599631532894,20140508,2
4503599631532894,20140529,2
4503599631532894,20140609,2
4503599631532894,20140714,2
4503599631532894,20140815,2
4503599631532894,20141111,2
4503599631532894,20150101,2
4503599631532894,20150406,2
4503599631532894,20150501,2
4503599631532894,20150508,2
4503599631532894,20150514,2
4503599631532894,20150525,2
4503599631532894,20150714,2
4503603923740912,20131101,2
4503603923740912,20131111,2
4503603923740912,20131225,2
4503603923740912,20140101,2
4503603923740912,20140421,2
4503603923740912,20140501,2
4503603923740912,20140508,2
4503603923740912,20140529,2
4503603923740912,20140609,2
4503603925963979,20141101,2
4503603927867434,20140501,2
4503603927919092,20131101,2
4503603927919092,20131111,2
4503603927919092,20131225,2
4503603927919092,20140101,2
4503603927919092,20140421,2
4503603927919092,20140501,2
4503603927919092,20140508,2
4503603927919092,20140529,2
4503603927919092,20140609,2
4503603927919092,20140714,2
4503603927919092,20140815,2
4503603927919092,20141111,2
4503603927919092,20150101,2
4503603927919092,20150406,2
4503603927919092,20150501,2
4503603927919092,20150508,2
4503603927919092,20150514,2
4503603927919092,20150525,2
4503603927919092,20150714,2
4503603927925062,20131111,2
4503603927925062,20131225,2
4503603927925062,20140101,2
4503603927925062,20140421,2
4503603927925062,20140501,2
4503603927925062,20140508,2
4503603927925062,20140529,2
4503603927925062,20140609,2
4503603927925062,20140714,2
4503603927925062,20140815,2
4503603927925062,20141111,2
4503603927945615,20131109,2
4503603927945615,20131116,2
4503603927945615,20131123,2
4503603927945615,20131130,2
4503603927945615,20131207,2
4503603927945615,20131214,2
4503603927945615,20131221,2
4503603927945615,20131228,2
4503603927945615,20140104,2
4503603927945615,20140111,2
4503603927945615,20140118,2
4503603927945615,20140125,2
4503603927945615,20140201,2
4503603927945615,20140208,2
4503603927945615,20140215,2
4503603927945615,20140222,2
4503603927945615,20140301,2
4503603927945615,20140308,2
4503603927945615,20140315,2
4503603927945615,20140322,2
4503603927945615,20140329,2
4503603927945615,20140405,2
4503603927945615,20140412,2
4503603927945615,20140419,2
4503603927945615,20140426,2
4503603927945615,20140503,2
4503603927945615,20140510,2
4503603927945615,20140517,2
4503603927945615,20140524,2
4503603927945615,20140531,2
4503603927945615,20140607,2
4503603927945615,20140614,2
4503603927945615,20140621,2
4503603927945615,20140628,2
4503603927945615,20140705,2
4503603927945615,20140712,2
4503603927945615,20140719,2
4503603927945615,20140726,2
4503603927945615,20140802,2
4503603927945615,20140809,2
4503603927945615,20140816,2
4503603927945615,20140823,2
4503603927994127,20140303,2
4503603927994127,20140304,2
4503603927994127,20140305,2
4503603927994127,20140306,2
4503603927994127,20140307,2
4503603927994127,20140310,2
4503603927994127,20140311,2
4503603927994127,20140312,2
4503603927994127,20140313,2
4503603927994127,20140314,2
4503603927994127,20140421,2
4503603927994127,20140428,2
4503603927994127,20140429,2
4503603927994127,20140430,2
4503603927994127,20140501,2
4503603927994127,20140502,2
4503603927994127,20140505,2
4503603927994127,20140506,2
4503603927994127,20140507,2
4503603927994127,20140508,2
4503603927994127,20140509,2
4503603927994532,20140303,2
4503603927994532,20140304,2
4503603927994532,20140305,2
4503603927994532,20140306,2
4503603927994532,20140307,2
4503603927994532,20140310,2
4503603927994532,20140311,2
4503603927994532,20140312,2
4503603927994532,20140313,2
4503603927994532,20140314,2
4503603927994532,20140421,2
4503603927994532,20140428,2
4503603927994532,20140429,2
4503603927994532,20140430,2
4503603927994532,20140501,2
4503603927994532,20140502,2
4503603927994532,20140505,2
4503603927994532,20140506,2
4503603927994532,20140507,2
4503603927994532,20140508,2
4503603927994532,20140509,2
4503603927994532,20140529,2
4503603927994532,20140530,2
4503603927994532,20140609,2
4503603927994603,20140421,1
4503603927994603,20140508,1
4503603927994603,20140529,1
4503603927994603,20140609,1
4503603928001757,20140421,2
4503603928001757,20140501,2
4503603928001757,20140508,2
4503603928001757,20140529,2
4503603928001757,20140609,2
4503603928002927,20140303,2
4503603928002927,20140304,2
4503603928002927,20140306,2
4503603928002927,20140307,2
4503603928002927,20140310,2
4503603928002927,20140311,2
4503603928002927,20140313,2
4503603928002927,20140314,2
4503603928002927,20140421,2
4503603928002927,20140428,2
4503603928002927,20140429,2
4503603928002927,20140501,2
4503603928002927,20140502,2
4503603928002927,20140505,2
4503603928002927,20140506,2
4503603928002927,20140508,2
4503603928002927,20140509,2
4503603928002927,20140528,1
4503603928002927,20140529,2
4503603928002927,20140530,2
4503603928002927,20140609,2
4503603928002927,20140611,1
4503603928010022,20140303,2
4503603928010022,20140304,2
4503603928010022,20140306,2
4503603928010022,20140307,2
4503603928010022,20140310,2
4503603928010022,20140311,2
4503603928010022,20140313,2
4503603928010022,20140314,2
4503603928010022,20140421,2
4503603928010022,20140428,2
4503603928010022,20140429,2
4503603928010022,20140501,2
4503603928010022,20140502,2
4503603928010022,20140505,2
4503603928010022,20140506,2
4503603928010022,20140508,2
4503603928010022,20140509,2
4503603928010022,20140528,1
4503603928016307,20140421,2
4503603928016307,20140501,2
4503603928016307,20140505,2
4503603928016307,20140508,2
4503603928016307,20140529,2
4503603928016307,20140609,2
4503603928016307,20140611,2
4503603928016307,20140612,2
4503603928016309,20140421,1
4503603928016309,20140508,1
4503603928016309,20140529,1
4503603928016309,20140609,1
4503603928021220,20140321,1
4503603928021220,20140328,1
4503603928021220,20140404,1
4503603928021220,20140411,1
4503603928021220,20140418,1
4503603928021220,20140425,1
4503603928021220,20140516,1
4503603928021220,20140523,1
4503603928021220,20140606,1
4503603928021220,20140613,1
4503603928021363,20140421,1
4503603928021363,20140508,1
4503603928021363,20140529,1
4503603928021363,20140609,1
4503603928021593,20140421,2
4503603928021593,20140428,2
4503603928021593,20140429,2
4503603928021593,20140430,2
4503603928021593,20140501,2
4503603928021593,20140502,2
4503603928021593,20140505,2
4503603928021593,20140506,2
4503603928021593,20140507,2
4503603928021593,20140508,2
4503603928021593,20140509,2
4503603928021593,20140529,2
4503603928021593,20140530,2
4503603928021593,20140609,2
4503603928021938,20140421,2
4503603928021938,20140501,2
4503603928021938,20140508,2
4503603928021938,20140529,2
4503603928021938,20140609,2
4503603928022684,20140421,2
4503603928022684,20140428,2
4503603928022684,20140429,2
4503603928022684,20140501,2
4503603928022684,20140502,2
4503603928022684,20140505,2
4503603928022684,20140506,2
4503603928022684,20140508,2
4503603928022684,20140509,2
4503603928022684,20140528,1
4503603928022684,20140529,2
4503603928022684,20140530,2
4503603928022684,20140609,2
4503603928022684,20140611,1
4503603928028357,20140421,1
4503603928028357,20140508,1
4503603928028357,20140529,1
4503603928028357,20140609,1
4503603928028618,20140421,2
4503603928028618,20140428,2
4503603928028618,20140429,2
4503603928028618,20140430,2
4503603928028618,20140501,2
4503603928028618,20140502,2
4503603928028618,20140505,2
4503603928028618,20140506,2
4503603928028618,20140507,2
